project_type,project_type_citation,total_cost_low,total_cost_low_citation,total_cost_high,total_cost_high_citation,scope_description,scope_description_citation,labor_cost_low,labor_cost_low_citation,labor_cost_high,labor_cost_high_citation,price_per_square_foot_low,price_per_square_foot_low_citation,price_per_square_foot_high,price_per_square_foot_high_citation,material_cost_low,material_cost_high,material_cost_low_citation,material_cost_high_citation
Flooring Installation,https://www.houzz.com/cost/15-cost-to-install-flooring,7967,https://www.houzz.com/cost/15-cost-to-install-flooring,8806,https://www.houzz.com/cost/15-cost-to-install-flooring,"Installation of new flooring throughout a home, including material selection, preparation of subfloor, removal of existing flooring, and installation.",https://www.houzz.com/cost/15-cost-to-install-flooring,,,,,,,,,,,,
Kitchen Remodel,https://www.houzz.com/cost/9-cost-to-remodel-a-kitchen,26500,https://www.houzz.com/cost/9-cost-to-remodel-a-kitchen,,,"Full kitchen remodel including cabinets, countertops, flooring, appliances, plumbing, and electrical work. Labor typically 20-25% of budget.",https://www.houzz.com/cost/9-cost-to-remodel-a-kitchen,5300,https://www.houzz.com/cost/9-cost-to-remodel-a-kitchen,6625,https://www.houzz.com/cost/9-cost-to-remodel-a-kitchen,,,,,,,,
Bathroom Remodel,https://www.houzz.com/cost/5-cost-to-remodel-a-bathroom,12350,https://www.houzz.com/cost/5-cost-to-remodel-a-bathroom,13650,https://www.houzz.com/cost/5-cost-to-remodel-a-bathroom,"Includes demolition, installation of flooring, wall coverings, fixtures, and associated plumbing/electrical work. Labor is at least 50% of cost.",https://www.houzz.com/cost/5-cost-to-remodel-a-bathroom,6175,https://www.houzz.com/cost/5-cost-to-remodel-a-bathroom,6825,https://www.houzz.com/cost/5-cost-to-remodel-a-bathroom,,,,,,,,
Roof Replacement,https://www.houzz.com/cost/7-cost-to-replace-a-roof,,,,,"Removing old roof, repairing underlayment, and installing new material. Labor accounts for 40-50% of total cost.",https://www.houzz.com/cost/7-cost-to-replace-a-roof,40,,,,,,,,,,,
Home Addition,https://www.houzz.com/cost/8-cost-to-build-a-home-addition,20000,https://www.houzz.com/cost/8-cost-to-build-a-home-addition,60000,https://www.houzz.com/cost/8-cost-to-build-a-home-addition,Constructing extra square footage. Labor is roughly 30-50% of overall project cost.,https://www.houzz.com/cost/8-cost-to-build-a-home-addition,6000,https://www.houzz.com/cost/8-cost-to-build-a-home-addition,30000,https://www.houzz.com/cost/8-cost-to-build-a-home-addition,,,,,,,,
Window Installation,https://www.houzz.com/cost/11-cost-to-install-or-replace-a-window,2216,https://www.houzz.com/cost/11-cost-to-install-or-replace-a-window,2449,https://www.houzz.com/cost/11-cost-to-install-or-replace-a-window,"Installation or replacement of windows including style, size, and glass pane type selection and labor.",https://www.houzz.com/cost/11-cost-to-install-or-replace-a-window,,,,,,,,,,,,
Kitchen Countertops,https://www.houzz.com/cost/25-cost-to-install-kitchen-countertops,4309,https://www.houzz.com/cost/25-cost-to-install-kitchen-countertops,4762,https://www.houzz.com/cost/25-cost-to-install-kitchen-countertops,"Installation of countertops, including material and labor for a typical 30 sq ft project.",https://www.houzz.com/cost/25-cost-to-install-kitchen-countertops,,,,,143.63333333333333,https://www.houzz.com/cost/25-cost-to-install-kitchen-countertops,158.73333333333332,https://www.houzz.com/cost/25-cost-to-install-kitchen-countertops,,,,
Hardwood Floor Installation,https://www.houzz.com/cost/2-cost-to-install-hardwood-flooring,15200,https://www.houzz.com/cost/2-cost-to-install-hardwood-flooring,16800,https://www.houzz.com/cost/2-cost-to-install-hardwood-flooring,Installation of hardwood flooring for typical residential space.,https://www.houzz.com/cost/2-cost-to-install-hardwood-flooring,,,,,,,,,,,,
Laminate Flooring Installation,https://www.houzz.com/cost/30-cost-to-install-laminate-flooring,8295,https://www.houzz.com/cost/30-cost-to-install-laminate-flooring,9168,https://www.houzz.com/cost/30-cost-to-install-laminate-flooring,"Installation of laminate flooring, including underlayment and material selection.",https://www.houzz.com/cost/30-cost-to-install-laminate-flooring,,,,,,,,,,,,
Paver Patio Installation,https://www.houzz.com/cost/21-cost-to-install-a-paver-patio,3150,https://www.houzz.com/cost/21-cost-to-install-a-paver-patio,9550,https://www.houzz.com/cost/21-cost-to-install-a-paver-patio,"Installation of a paver patio (approx 400 sq ft) including base layers, grading, and labor.",https://www.houzz.com/cost/21-cost-to-install-a-paver-patio,3600,,,,8.5,https://www.houzz.com/cost/21-cost-to-install-a-paver-patio,21,https://www.houzz.com/cost/21-cost-to-install-a-paver-patio,940,4140,,
Air Conditioning Installation,https://www.houzz.com/cost/4-cost-to-install-or-replace-air-conditioning,2500,https://www.houzz.com/cost/4-cost-to-install-or-replace-air-conditioning,5200,https://www.houzz.com/cost/4-cost-to-install-or-replace-air-conditioning,Installing or replacing a central or split AC unit in a U.S. home.,https://www.houzz.com/cost/4-cost-to-install-or-replace-air-conditioning,,,,,,,,,,,,
Granite Countertop Installation,https://www.houzz.com/cost/20-cost-to-install-granite-countertops,1700,https://www.houzz.com/cost/20-cost-to-install-granite-countertops,2400,https://www.houzz.com/cost/20-cost-to-install-granite-countertops,Installation of granite countertops covering roughly 30 sq ft.,https://www.houzz.com/cost/20-cost-to-install-granite-countertops,570,https://www.houzz.com/cost/20-cost-to-install-granite-countertops,,,59,https://www.houzz.com/cost/20-cost-to-install-granite-countertops,78,https://www.houzz.com/cost/20-cost-to-install-granite-countertops,1200,1800,https://www.houzz.com/cost/20-cost-to-install-granite-countertops,https://www.houzz.com/cost/20-cost-to-install-granite-countertops
Basement Finishing,https://www.houzz.com/cost/54-cost-to-finish-a-basement,20216,https://www.houzz.com/cost/54-cost-to-finish-a-basement,22344,https://www.houzz.com/cost/54-cost-to-finish-a-basement,"Involves waterproofing, drywall, electrical, plumbing, and flooring. Labor is 25-30% of total.",https://www.houzz.com/cost/54-cost-to-finish-a-basement,5054,https://www.houzz.com/cost/54-cost-to-finish-a-basement,6703.2,https://www.houzz.com/cost/54-cost-to-finish-a-basement,,,,,,,,
Vinyl Siding Installation,https://www.houzz.com/cost/65-cost-to-install-vinyl-siding,5900,https://www.houzz.com/cost/65-cost-to-install-vinyl-siding,7050,https://www.houzz.com/cost/65-cost-to-install-vinyl-siding,Installing vinyl siding including material and labor.,https://www.houzz.com/cost/65-cost-to-install-vinyl-siding,1.5,,,,3,https://www.houzz.com/cost/65-cost-to-install-vinyl-siding,3.5,https://www.houzz.com/cost/65-cost-to-install-vinyl-siding,1.3,1.5,,
Carpet Installation,https://www.houzz.com/cost/12-cost-to-install-carpet,1200,https://www.houzz.com/cost/12-cost-to-install-carpet,5500,https://www.houzz.com/cost/12-cost-to-install-carpet,"Installation of new carpet including selecting material, padding, and disposal of old carpet.",https://www.houzz.com/cost/12-cost-to-install-carpet,,,,,2,https://www.houzz.com/cost/12-cost-to-install-carpet,7,https://www.houzz.com/cost/12-cost-to-install-carpet,2,7,,
Water Heater Installation,https://www.houzz.com/cost/6-cost-to-install-a-water-heater,600,https://www.houzz.com/cost/6-cost-to-install-a-water-heater,1200,https://www.houzz.com/cost/6-cost-to-install-a-water-heater,Installation of a new water heater including removal and connection.,https://www.houzz.com/cost/6-cost-to-install-a-water-heater,,,,,,,,,,,,
Furnace Installation,https://www.houzz.com/cost/23-cost-to-install-a-furnace,950,https://www.houzz.com/cost/23-cost-to-install-a-furnace,2050,https://www.houzz.com/cost/23-cost-to-install-a-furnace,Installation of a new furnace with existing ductwork.,https://www.houzz.com/cost/23-cost-to-install-a-furnace,,,,,,,,,,,,
Quartz Countertop Installation,https://www.houzz.com/cost/16-cost-to-install-quartz-countertops,4740,https://www.houzz.com/cost/16-cost-to-install-quartz-countertops,5239,https://www.houzz.com/cost/16-cost-to-install-quartz-countertops,Installation of quartz countertops with cost varying by square footage and grade.,https://www.houzz.com/cost/16-cost-to-install-quartz-countertops,,,,,,,,,,,,
Exterior Painting,https://www.houzz.com/cost/13-cost-to-paint-house-exterior,,,,,Painting home exterior. Labor accounts for 80-85% of total cost.,https://www.houzz.com/cost/13-cost-to-paint-house-exterior,,,,,,,,,,,,
Fence Installation,https://www.houzz.com/cost/10-cost-to-install-a-fence,,,,,Installation of a new fence. Labor typically accounts for at least half of the total project cost.,https://www.houzz.com/cost/10-cost-to-install-a-fence,,,,,,,,,,,,
